type,years,Canada,USA,Mexico,Central America,Brazil,Rest of South America,Northern Africa,Western Africa,Eastern Africa,South Africa,Western Europe,Central Europe,Turkey,Ukraine region,Central Asia,Russia Region,Middle East,India,Korea,China,South Eastern Asia,Indonesia Region,Japan,Oceania,Rest of South Asia,Rest of Southern Africa
aboveground,2040,81891.84939,445833.4367,104589.1706,51202.98824,158930.2691,243701.7759,251747.4398,195107.4929,147805.6308,90945.17296,313037.5897,101155.1102,75943.84005,82751.23715,92299.7425,215678.988,231386.6743,1044564.911,11370.51823,723153.6817,147536.28,118468.8238,22195.0325,47629.22326,156987.2156,130639.3594
aboveground,2041,81938.99556,443742.1831,107709.2965,53168.68384,159931.0434,251035.5394,259905.4526,209644.3255,157321.2948,92981.21125,315022.0247,100028.1032,76404.36724,83232.93589,92798.5922,214954.4599,234616.8551,1091250.456,11290.95243,721831.3276,151519.9964,123236.0504,22106.26893,48040.01024,166718.0096,137658.1462
aboveground,2042,82091.38186,441877.4856,110867.2815,55125.67439,161000.9608,258414.059,268408.6846,225358.9632,166746.2062,95059.067,318969.5665,99167.7055,76858.65191,83766.21444,93241.23778,213917.6288,237967.4035,1141455.45,11201.89483,720408.9971,155448.4306,127615.9736,22038.77016,48528.70323,176800.0581,145197.9367
aboveground,2043,82338.5026,440593.389,114101.3071,57054.94809,162091.1199,265725.6242,277133.1269,242511.1816,175656.5137,97106.95419,324536.1626,98604.84766,77247.7989,84245.84451,93568.06935,212417.6712,241084.788,1194753.778,11098.31714,719516.5781,159226.2937,131274.3325,22010.84913,49088.61792,187148.0675,153418.0878
aboveground,2044,82669.87885,439770.3264,117335.2296,58959.3685,163025.0114,272728.3804,285877.1557,261172.9984,184866.3915,99095.85286,331386.6469,98191.54413,77590.75084,84644.55045,93754.21887,210943.7717,243750.075,1248797.309,10986.20805,719366.4652,162797.2456,134564.1074,21972.32117,49690.51883,197711.1683,162194.6704
aboveground,2045,82993.459,439952.3899,120599.3255,60838.97921,163897.3997,279352.8109,294506.25,281703.7481,194772.9701,101117.7614,338846.5097,97929.46245,77911.29348,85069.85924,93842.07519,209357.9455,247295.8823,1302179.578,10884.59699,719852.5275,166186.7458,137478.4502,21941.21675,50300.25829,208604.813,171507.6961
aboveground,2046,83379.11599,441456.7191,123654.7626,62678.08089,164564.0514,285393.1008,302474.8254,303674.1488,205320.1066,103054.7831,346126.2516,97899.91703,78086.12819,85561.97696,93709.41644,207926.3687,251155.7009,1354339.34,10788.26105,720744.2867,169094.1864,140064.0986,21922.03765,50868.57076,219808.6333,181469.3198
aboveground,2047,83637.04407,443322.7009,126556.0326,64456.9802,165036.8252,290802.5543,309354.7618,327232.6462,216597.9573,104866.3924,352686.0433,97899.66634,78173.68939,85986.96858,93179.83295,206724.1394,254779.3763,1405066.775,10677.60956,720576.9856,171289.4993,142286.9759,21868.30528,51357.75582,231261.8767,192010.2535
aboveground,2048,83851.08057,445495.9877,129331.9984,66194.80598,165265.8491,295809.991,315998.1988,352301.7866,228730.7678,106590.847,358276.288,97914.39518,78182.08916,86382.65771,92344.4709,205792.4394,258695.6867,1455403.017,10560.38091,718687.7288,173329.547,144225.1617,21759.70716,51766.21216,242918.6983,203152.4928
aboveground,2049,84028.33764,447920.0257,131982.6585,67886.16603,165250.7447,300467.0992,322307.7973,379141.3152,241406.0399,108236.4485,362776.9463,97985.41518,78145.99347,86773.0562,91404.75388,204665.5714,263021.1514,1506473.649,10429.53134,715417.4193,175184.9239,145955.2358,21653.18968,52118.13031,254788.3398,214950.1689
aboveground,2050,84219.83741,449747.5037,134580.8834,69536.47686,165007.1172,304778.9486,328398.6058,408052.1468,254916.5505,109776.859,365992.8185,98051.22406,78069.44247,87132.17868,90467.35669,203516.9084,266288.1696,1559165.742,10279.56275,710937.191,176866.4619,147556.1732,21551.86815,52444.17539,266869.9428,227457.9437
underground,1971,401.0500129,8334.774257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
underground,1972,636.115509,10428.37221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
