flow,sector,category,elements,materials,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
inflow,electricity,grid,substations,Concrete,2534.087276174828,2569.9922324972586,2766.819312884437,2982.095829196313,3330.231417270597,3632.011766724061,3975.0465422733823,4315.248354780968,4510.909910908998,4789.847212223502,5102.824957000597,5548.354137294064,5806.20895319728,5579.463791535808,5184.016088964344,4591.3552869536325,3712.7805612197144,3309.1496811534375,3432.6309242156954,3676.9919498139516,4116.790878188313,4695.706834261114,4955.692533196564,5288.3760685656125,5548.950656953239,5826.754517703839,5927.793836066641,5922.014614253981,5869.841095248418,5776.684595381227,5594.101258291757,5630.157504883366,5774.253586392688,5961.862543057998,6267.182651192774,6622.202110191247,6842.440412508713,6938.610098494892,6995.416150998159,7031.048232024468,7124.478081674191,7361.737688736979,7748.581752208473,8182.49385131696,8600.094608151296,8901.726314481279,9083.70242317798,9168.844875422305,9165.773940227387,9147.216537080341,9131.570240595602
inflow,electricity,grid,transformers,Concrete,3385.0678585520427,3482.471641181022,3786.417450722757,4091.4509822733066,4489.169665832453,4834.248111071742,5227.4380323747155,5625.354497541186,5864.1975521249215,6256.4553938373865,6741.468200268326,7378.107167991353,7812.416935740197,7705.511797540799,7356.928208523201,6722.7502587844565,5760.417033323975,5378.886335558589,5629.566815239222,6049.104308270003,6701.272318281854,7485.113049460734,7823.164411227952,8206.577378665468,8535.63280753423,8885.802208208042,9086.546087683113,9193.462775315154,9246.267730478448,9251.28051709172,9174.174439767203,9340.52543758238,9655.170051679765,10059.721393858856,10579.317197968154,11141.490377103066,11511.316358776256,11717.863608089037,11843.499183372842,11901.998678411193,12011.204001355047,12280.927104509548,12689.1928397817,13150.197291981556,13604.731595897872,13928.843552545099,14130.956839294515,14254.907110898252,14300.781033593232,14350.14921867693,14430.4786003649
inflow,electricity,grid,lines,Cu,277.2282091488197,279.6987351542831,298.6623594802193,320.1815286778313,358.3064412066004,384.70204649471975,409.03797191559676,443.55847725827323,461.09555149948403,485.02963453286395,521.2672638115357,572.1347765735879,590.4435095696231,560.4929818656906,522.4512535136638,459.036467056475,377.7258645658245,340.4849345676378,367.805454491506,409.87382159524077,471.50677949308033,540.0242011113284,582.6618336546882,625.847651244725,651.3951066095512,679.9430715326508,692.3307774252077,695.175772401563,692.083086224214,683.7627006805737,666.2054816701446,670.5697157827403,684.4529845494249,703.0784798819483,735.8647549442958,773.5324751118234,796.4088808450722,805.2497595014454,809.0609279802179,811.7631247516199,820.0010611539644,843.9813561094804,885.1846921805502,933.5603734938107,981.205457936419,1019.960395381277,1045.8148620123952,1060.8400288004862,1064.3742066328755,1062.4273038573267,1055.3785803007659
inflow,electricity,grid,substations,Cu,8.97846390552172,9.187463755842597,10.010593184023794,10.859453144993338,12.062290482579318,13.099854384962404,14.283941808984522,15.472498046217993,16.159711344064423,17.254864870124138,18.57143073517718,20.356935932680962,21.496480575965247,20.93591067920203,19.67618902658411,17.59656954708926,14.49393911432287,13.147806091049546,13.726745989539003,14.792132188677442,16.5672695510425,18.7798763581199,19.697834089903647,20.79629487188173,21.688856834133016,22.6381323850857,23.05528912659222,23.138513957806023,23.04262833225024,22.786228978555876,22.238181073054836,22.44056156303329,23.064196581764506,23.91392431612032,25.140419984646208,26.518772010533066,27.353472844198706,27.722749339655444,27.905003964868143,27.95663512447423,28.21541772633203,29.010579297075825,30.304775102310952,31.791813067428457,33.265799148712446,34.344963295018864,35.03129499881341,35.430752406993655,35.54586863980985,35.6243198757323,35.738670063993325
inflow,electricity,grid,transformers,Cu,418.95424833378246,430.42098651619796,467.120009043056,504.2727405261893,553.7497812673935,596.7041122703431,645.5836540198474,694.9434715832698,724.5080594604566,772.1958115044586,830.5997513539194,907.8144615940219,959.8155707444857,944.695377282095,900.403243211927,821.6376043460345,702.2532009138758,654.2238817449896,684.0090780462,734.2896899419347,813.2928069232721,909.0433239524343,950.8598384431713,998.9188637399619,1039.923155298262,1083.5853916787134,1108.0996857606624,1120.6899965972325,1126.685445909344,1126.8727125065218,1116.6856323081115,1136.7835436392265,1174.9114136936596,1223.5940230924086,1286.749486565166,1355.28832078,1400.4247719697398,1425.4687376830013,1440.7659504550948,1448.0994254954107,1461.6337643384234,1494.8048278737003,1545.3275420583786,1602.1889386520259,1657.9290550888554,1697.4394759246948,1721.6616168695214,1735.8440183784044,1740.217774147351,1744.961862146164,1753.4206894379104
inflow,electricity,grid,lines,Glass,52.86471182421877,55.13390256850048,61.479476480548115,68.00376303104274,74.63250448999283,80.65795440218764,88.80451045629715,99.51490449102143,103.71910641103126,111.96849538372187,122.23865722264895,134.70515520177648,141.17222031228746,140.443539684767,133.44469493759973,120.10963211513524,99.34702106459342,90.70105941681602,93.63359408658033,100.20705946343801,111.46486921914816,125.34462982362761,129.10559374990794,133.86166016927643,138.86817146042782,143.95812831631417,146.5788055988637,147.49808122828486,147.32987153239162,146.12623528417794,143.4670884136135,145.15005555389322,149.91741074311852,156.72872554933016,165.11598218432843,174.1782126666191,179.41698239676893,181.79935598339355,182.69376455930583,182.14640303105926,182.85751991527727,186.86690199405373,193.22211645408305,200.68774985833494,208.466167173578,213.82275794391836,217.31261773386092,219.84367883087353,221.32060392029769,223.1693409204043,226.05472240676596
inflow,electricity,grid,substations,Glass,4.512241488063773e-05,4.6830684451678186e-05,5.198115323668774e-05,5.69293176576472e-05,6.271438235144621e-05,6.766461637799282e-05,7.336147275447713e-05,7.919367500633991e-05,8.260122292584374e-05,8.897757521539159e-05,9.728252005085104e-05,0.00010791635997578762,0.0001154644720180836,0.00011460615912549043,0.00010941338339205961,9.912603211445922e-05,8.364508029511412e-05,7.757626583497153e-05,8.164672128550966e-05,8.862468299674512e-05,9.929244434388896e-05,0.00011170409487621599,0.00011628481271678744,0.00012114114933099624,0.00012536385288277238,0.00012984617721474977,0.00013241290713719183,0.00013366460006276423,0.00013390509988438616,0.00013321788770928573,0.00013127301955886584,0.00013290089598183729,0.00013695443879720742,0.00014271956207308537,0.00015005118794159152,0.00015794738344292858,0.00016258198933630553,0.00016466989451491802,0.00016543932533216217,0.00016510428368012427,0.00016583115313456145,0.00016946646253987688,0.00017535864567509997,0.00018242573373717085,0.0001897882130384833,0.00019529446684797962,0.00019907781920744977,0.00020187485020766016,0.00020347043199664297,0.00020502683705702385,0.00020696960831540889
inflow,electricity,grid,transformers,Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,lines,Mn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,substations,Mn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
