flow,sector,category,technologies,materials,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
stock,electricity,storage,Flywheel,Ni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Pb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Plastics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Pt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Steel,18.831076748849163,26.036766590984218,33.53814240640496,43.56847990504966,53.55835343615451,63.95659753697194,79.13915547767276,93.9173869391963,108.06545009350381,118.78959841964806,138.56847445973176,149.01591105192566,159.681196011739,171.1732215974674,185.3895762937599,190.1521707438012,197.30360715350866,204.37628400462867,209.45286910127786,216.0059878302019,226.02989090288628,235.12232954010145,244.49398077334425,256.6331007303751,269.1433971872561,281.3287237155416,292.06794597184256,303.31848319422795,313.7693982869741,323.05688985908085,329.5300706675816,338.3073552361679,348.2429785439554,360.59649558658873,375.2357029260519,392.5866891175022,411.82007670646794,433.04963722764455,453.34021089811745,475.2547531215052,498.87773870177347,525.4906848568224,553.9749102124287,583.3725386696387,611.3857755260188,640.20019867051,669.1991055313645,698.1096484501187,727.9509353746049,759.1674716376543,792.2664518925003
stock,electricity,storage,Compressed Air,Aluminium,0.021707487532753658,0.03277578692677338,0.04529611873222715,0.0634040681600909,0.0828353354779101,0.1045470690521868,0.13842799268577655,0.17360819269737476,0.20946956527451546,0.23850110563959204,0.2947496530736956,0.32689689564099295,0.36192614014672725,0.40211945911636093,0.45439258553258177,0.4773215190194494,0.511748955671497,0.5495168637876736,0.5836725376010146,0.6326159870090698,0.7090728376038884,0.7937916351447741,0.8938238884819585,1.0256192207542252,1.174640940674812,1.3347559045751225,1.4952753035833883,1.6674242418917928,1.8379094155713636,2.0002913443696393,2.1391355391124693,2.2934341882839284,2.4536138221334327,2.6278030822988323,2.8142812635524104,3.0156302174451852,3.225721609115053,3.4454815034914947,3.6544486828789573,3.8714303928979352,4.097712295742515,4.343020471978204,4.6001651140650015,4.863050642459935,5.1161811723467085,5.375089983126944,5.635642780194657,5.895966717062383,6.162966823807241,6.43949892723349,6.728814701140682
stock,electricity,storage,Compressed Air,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Compressed Air,Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Compressed Air,Cu,0.02266261692773625,0.03421792146630551,0.04728914783863538,0.06619384699422853,0.08648009002349336,0.10914713981856865,0.1445188240039161,0.18124695272452515,0.21868622560178894,0.24899515366742134,0.3077186370423297,0.34128035819897695,0.37785088937185674,0.41981271427161637,0.4743858581141947,0.49832366461484917,0.5342659083900451,0.5736956043651037,0.6093541277373968,0.6604510887921106,0.7402720406142462,0.8287184650265873,0.933152137250436,1.0707464637998985,1.2263251390094034,1.3934851609048877,1.561067413052026,1.7407909041982614,1.9187774250763217,2.0883041583193855,2.2332574972697823,2.394345286603474,2.5615728239257476,2.74342641108538,2.938109631829108,3.148317939169481,3.3676533515263998,3.597082680683837,3.815244415420849,4.041773320116318,4.278011626097528,4.5341133614495694,4.802572367119383,5.077024858079962,5.341293130623391,5.611593928404567,5.88361104786559,6.155389237278427,6.434137348025622,6.7228368632833995,7.024882530490032
stock,electricity,storage,Compressed Air,Electrolyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Compressed Air,Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Compressed Air,Graphite & carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Compressed Air,Li,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Compressed Air,Mn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Compressed Air,Nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Compressed Air,Ni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Compressed Air,Pb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Compressed Air,Plastics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
