type,years,Canada,USA,Mexico,Central America,Brazil,Rest of South America,Northern Africa,Western Africa,Eastern Africa,South Africa,Western Europe,Central Europe,Turkey,Ukraine region,Central Asia,Russia Region,Middle East,India,Korea,China,South Eastern Asia,Indonesia Region,Japan,Oceania,Rest of South Asia,Rest of Southern Africa
aboveground,1995,60614.44346,258759.914,20749.73343,3651.790209,30335.7474,34362.56015,24741.43902,9620.842752,7111.818588,11328.4556,130899.4472,41364.51635,15789.73304,14039.13461,30032.05531,61451.22601,31366.97657,86694.66309,2912.066094,97230.9606,5207.114609,2439.376014,11308.63795,14447.78717,8045.113651,5647.77529
aboveground,1996,64059.68152,265788.0845,22511.77237,3922.136282,31582.29617,36055.89936,27526.59548,10005.9101,7621.048394,11908.02034,133488.1775,42656.44941,17663.6992,14200.6124,29777.09481,61585.65114,34208.27175,92846.61178,3058.252758,103742.5824,5797.91957,2561.75292,11814.90633,15097.57171,8323.876906,5688.161587
aboveground,1997,64368.58551,261287.5628,23328.28837,4235.981581,32975.66997,38924.73324,29450.39558,10107.3816,7737.196408,12451.27491,136659.053,43424.59108,18142.36501,14094.8178,29522.13431,60991.99825,37241.4108,104752.3208,3343.797133,111680.5913,6218.236971,2785.313358,12197.93094,15842.3903,8536.333829,5766.03308
aboveground,1998,64671.78031,257244.807,24463.19172,4459.84303,34291.62129,39936.99442,30599.89579,10344.33316,8162.410792,12744.78634,140407.0337,44453.66601,19353.13053,14240.57226,29267.18187,60824.84716,41245.32641,115221.6871,3865.682465,121022.1232,6704.082098,3276.636576,12787.0277,16576.99635,8623.265898,7200.65601
aboveground,1999,64670.65411,253585.4124,26171.66686,4795.927455,34405.16107,40604.50341,32389.31164,10581.28461,8579.297233,13005.44813,144325.4116,45970.97851,19753.02196,14134.77766,29012.22137,60765.76666,45116.77773,124344.9666,4188.052505,123899.9766,7380.203631,3713.740314,13164.08983,17060.7064,8715.868408,7825.537498
aboveground,2000,65973.17875,254279.4874,27109.07558,4942.186278,36339.08302,42323.16089,33490.89204,10797.67675,8862.513695,12898.02839,149649.9283,47299.47138,20038.09727,14028.98443,28757.26087,60709.31759,48709.57432,132151.4932,4372.51334,128324.9797,7981.751437,4367.030281,13231.25143,17556.79273,9161.411398,9072.309618
aboveground,2001,65455.64516,260918.1633,27965.52177,5035.005147,37021.16412,42808.99809,34302.90532,11188.92461,9141.673875,12790.94132,152408.1672,48298.36747,21105.45278,13927.92783,28502.30842,60730.95169,52128.65697,137533.3751,4623.540823,134756.3696,8454.138663,4970.159628,13392.61521,17930.98873,9445.531602,9564.270801
aboveground,2002,66355.41912,267083.3461,28820.60227,5259.709344,38094.20375,44624.59,36532.19767,11988.54207,9419.89735,12684.87513,155627.6876,50189.16964,22125.21375,13823.63232,28247.34793,60700.58705,56427.89553,138241.3113,4829.711752,146766.0736,9160.699817,5442.554308,13554.55917,18142.61877,9942.168363,10070.77734
aboveground,2003,67104.06066,271932.8421,29488.26517,5548.005389,40784.55474,46423.50214,39271.17012,12369.52526,9562.695007,12650.28174,157867.8793,52152.26458,23265.12132,13719.05932,27992.38743,60489.84843,60764.16663,140393.2425,4945.129975,162935.2371,9961.693346,5849.883124,13648.97407,18598.8303,10320.81291,10621.60332
aboveground,2004,66983.53971,275986.8379,30955.29351,5737.150737,42614.56474,49790.5992,43324.54972,13051.84407,9564.836585,12972.60195,160812.912,53977.19998,24405.11533,13615.99967,27737.42693,60557.4922,66184.33276,145110.5082,5021.249819,181055.3708,10837.57004,6183.593649,13913.0512,19216.36294,10798.27902,11460.13352
aboveground,2005,67412.46948,279216.2404,32175.31098,6214.429244,45600.5808,52339.62249,47348.71133,13728.21353,9555.117298,13576.46435,164844.141,56212.74817,25613.64113,13511.07411,27482.47449,60411.11715,70772.43037,151543.1274,5270.832068,206377.5251,11678.58315,6329.919122,14315.00165,19667.36912,11057.37112,11591.66313
aboveground,2006,68017.31995,280271.2635,33079.94286,6725.611338,49045.03517,54670.8307,51206.00783,14280.27474,9650.390906,14170.63664,168817.6892,58362.23082,26143.02433,13397.33178,27209.59085,60149.86565,74220.71163,159292.9897,5555.438435,232794.539,12388.18038,6613.117165,14525.1584,19932.07856,11632.04404,11711.0952
aboveground,2007,68612.93537,282386.9942,34390.62462,7211.573204,52695.07079,54976.34416,55238.20554,14520.91769,9748.632185,14765.77619,173069.4223,59622.53423,26695.54608,13283.76823,26938.49117,61283.33709,76975.54386,166504.3203,5770.494364,264796.002,12767.70808,6979.109326,14533.6609,20288.79864,12695.9471,12004.5101
aboveground,2008,69703.20831,289618.3305,35043.73146,7520.168466,54034.66355,55506.91393,58813.84288,14796.92092,9846.382239,15289.8615,179549.989,60543.59043,27033.86524,13049.29469,26371.70928,62278.47322,79944.42664,176712.5076,6033.243206,305030.3405,13169.9571,7265.250237,14671.16369,20423.12878,13596.72716,12071.11216
aboveground,2009,71701.42671,302979.0545,35700.22653,7868.971035,55537.85589,55454.6519,62012.2931,15234.5956,14193.71621,15455.14711,188280.2653,61462.82151,28056.10426,12694.26112,26160.44743,62898.1092,82465.68383,186830.2644,6306.440224,352766.6269,13767.89364,7665.822776,14867.06054,20493.87492,14390.04127,12070.46087
aboveground,2010,72370.38936,304618.3807,35797.1429,7993.598406,56804.61449,55924.74469,65301.68717,15739.56224,15787.33061,15347.96541,193682.9525,62407.14944,29698.74877,12228.11215,25446.60221,64333.75576,86308.82042,198721.4882,6509.926971,395633.3296,14279.78735,8064.845663,14688.48292,20587.29626,15223.35635,12069.33398
aboveground,2011,73600.75579,310724.3064,37144.31011,8314.612511,57992.12385,56632.88849,68176.37412,16210.8939,16237.91662,15247.81877,200991.8831,62902.97106,32165.27009,11687.93904,26818.94858,66400.83268,92913.31762,216843.3639,6752.250278,434987.4579,15305.68065,8323.059416,14761.44473,21063.98854,15824.63552,12062.77022
aboveground,2012,74258.43108,322165.1822,39114.85951,8589.731918,59544.83249,57742.21324,71131.27292,17031.41797,17452.9624,15128.57677,209164.4231,64060.40789,35569.29233,11336.49528,29300.6702,67206.12592,101768.0318,235959.9471,7343.130016,473367.7573,17234.01347,8762.124577,14906.95372,21579.57466,16540.27585,12409.09176
aboveground,2013,75452.33792,329165.2864,41684.97198,8686.506945,60970.68101,59422.54318,74838.80528,17932.68087,17911.33277,15080.84579,215338.5426,65661.88995,40008.14152,11128.61383,32063.49639,68006.38026,108950.7225,258087.4896,7810.846945,537531.5323,18863.81876,9560.013284,15368.50732,22157.95867,17021.58305,12652.9355
aboveground,2014,77781.8724,333873.2181,45037.43937,8889.676132,64036.6445,62599.97402,79440.71056,17923.59049,18899.38262,15416.9762,219718.6327,66523.29024,43293.55376,10888.62848,35383.32154,69045.21168,115567.1993,281491.5473,8251.076799,592618.0536,20279.84919,10239.69069,16100.6863,22707.84367,17425.11754,13315.43219
aboveground,2015,77180.35564,333625.2051,47301.76486,8878.002531,63951.62288,65490.14032,83126.03503,18469.42844,18901.60367,15300.35961,218662.5361,66856.81443,44425.1415,10639.27346,38883.79285,69266.19059,120540.3823,301678.7698,8572.454604,623257.6875,21342.59956,11079.35144,16106.04289,22723.43705,17639.63209,14187.10605
aboveground,2016,76566.91126,333303.4059,48041,8897,67200,66818,86710,20656,18865,15200,217130.4317,66716.03906,45132,10400,40581,69200,123130,319767,8805.740285,646500,22722,12055,16116.37381,22577.56702,18724,15151
aboveground,2017,75900.48496,330990.6544,48625.76982,8944.662125,68647.89363,68911.15104,87856.10712,22641.22837,19228.52975,15133.86473,215521.1651,65918.72425,45731.83891,9978.461305,40800.8143,68768.73549,123038.3319,332726.7224,8751.193073,660936.6077,22697.09908,12847.03083,15966.55248,22372.95943,18801.4921,16179.31048
aboveground,2018,75234.37265,332949.7022,48268.82546,9107.646403,68576.6252,68811.32408,88466.95296,24108.07325,20474.12669,15200.324,213998.8075,64633.70914,45840.09522,9598.54516,41259.37416,67679.62304,122934.3666,341011.4898,8656.871826,659991.0282,22674.00528,13641.69714,15805.55997,22228.83735,19505.3788,16906.83409
aboveground,2019,74503.07822,337259.1794,47888.21867,9554.542495,68510.42179,69453.36746,88008.29716,25778.42707,21324.85727,15414.00125,212584.5645,63307.67267,46179.76151,9443.445519,41594.01811,67055.90027,122791.029,349170.3753,8559.040251,658792.3542,23008.08631,14418.34884,15633.08562,22610.23241,20824.77406,17716.57306
aboveground,2020,73785.72405,343075.6611,47498.1139,9936.1162,69925.33351,70619.59059,87530.86838,27531.88647,23264.37163,15778.86734,211329.975,61947.9746,46592.8111,9464.029095,42334.37139,65915.00279,122598.6278,358839.8059,8459.922608,669236.0325,23626.3392,15301.95532,15451.15132,22698.74238,21829.77377,18578.28226
aboveground,2021,73172.14109,349943.133,47094.55272,10432.93399,73281.85856,72159.14014,87699.87514,29449.84419,25522.87091,16288.47923,210074.933,60558.47386,47044.815,9594.373665,43320.97711,65535.94838,122810.5297,371584.1428,8368.06783,691270.3603,25139.12709,16437.79769,15240.85766,22856.7569,22602.005,19235.17088
aboveground,2022,72492.29517,354119.4656,46714.09238,10939.29702,76844.49247,73501.01864,91683.05243,31521.61175,28590.03237,16792.64672,208454.9213,59147.45893,47586.43704,9736.456524,44299.34611,64823.1895,126092.1084,386079.3078,8272.610687,695755.6493,26541.64855,17836.53405,15012.36885,22962.91563,23537.78915,19993.44678
aboveground,2023,71742.65571,354580.5086,46306.13098,11451.12613,79873.04853,74520.51741,93477.05309,33887.3078,31494.59221,17246.8543,206465.1955,57724.92966,47881.52873,9865.456912,45595.3218,64275.559,128855.7174,401657.384,8173.654112,700460.8209,27740.1508,19489.02657,14769.6108,22935.18763,24545.5004,20746.04394
aboveground,2024,70924.93028,352174.3569,45713.15187,11944.89754,83277.24763,76352.97312,95850.43517,36321.62591,33079.74599,17678.56016,204063.3021,56345.48561,48000.66907,9888.481124,46593.39434,63769.54995,131343.5303,417504.5698,8064.622735,708176.6976,29135.88862,21356.81612,14509.47991,22806.62423,25556.94546,21474.30563
aboveground,2025,70036.87674,347376.2376,44993.38793,12424.9211,84463.39845,78011.87394,98632.37796,38915.29848,35710.35731,18085.36705,201169.5626,54996.36374,48093.19802,9860.723428,47534.05683,63207.74182,132933.2324,433382.4771,7946.21322,714706.5098,30553.09769,23359.05276,14223.33788,22609.09466,26639.94373,22167.67805
aboveground,2026,69081.32468,341950.2323,44215.61429,12945.88142,85777.33369,80505.99029,101243.8607,41914.83505,38551.12124,18512.09545,197815.899,53713.4217,48229.62687,9841.666152,48392.47041,62782.60782,133172.8671,451254.4675,7831.935328,723366.6435,31965.73805,25408.58169,13916.67287,22430.97954,27803.24869,22879.7002
aboveground,2027,68103.18697,335653.7412,44394.25278,13496.31625,87268.11097,83333.25791,103669.5802,45019.85239,41806.75749,18992.16332,194064.7872,52433.60513,48325.48132,9789.381191,49112.14472,62103.74763,131958.8986,470048.1313,7709.806994,730355.0722,33447.80502,27464.3516,13594.42186,22250.03496,28987.40757,23606.35543
